Top Gun,Polar Express,The House,Lady and the Tramp,Jaws,,young Frankenstein,There will be blood,A Quiet Place,,Mouse Detective,The Sound of Music,Proposal,Mad Max (2),Karate Kid,Superman,Atypical,Rio Bravo
Hitman's Bodyguard,Rudolph the Rednose Reindeer (Claymation),Daddy Day Care,Bambi,Ladybird,,The Addams Family,Enemy at the Gates,,,Casper,Mama Mia,Say Anything (80s),Robo Cop,The Sandlot,Thor,Friends,The Man who shot liberty Valance
Pirates of the Carribbean,Santa Clause is Coming to Town (So Good),Just My Luck,Cinderella,Manchester by the Sea,,Something Wicked this way comes,The lost city of Z,,,Get a Clue,(OG)Charlie and the Chocolate Factory,Sweet Home Alabama,Planet of the Apes (4),White men cant jump,Wolverine,The Office,Django Unchained
Transformers,the Grinch,Big Fat Liar,101 Dalamations,Marley and Me,,,The right stuff,,,,Once,The Princess Bride,Star Trek,THe mighty ducks,X-Men: Apocalypse,Parks and Rec,Gunfight at the OK Corral
Matrix,The Santa Clause,TAG,Hunchback of Nottredame,Me Before You,,,The Hurt Locker,,,,Music MAn,When Harry Met Sally,Galaxy Quest (Comedy),Cinderalla Man,The Avengers,GLOW,Mackenna's Gold
Fast and Furious,White Christmas,Ferris Bueller's Day Off,Pocahontas,Passion of the Christ,,,American Sniper,,,,Everybody says I love you,You've Got Mail,Inception,Happy Gilmore,Thor: Dark World,A Series of Unfortunate Events,Hidalgo
Indiana Jones,Miracle on 34th Street,Breakfast Club,Rugrats Movie,Search for Ronan,,,Valkyrie,,,,Enchanted,Begin Again,Ex Machina,The endless summer,Thor: Ragnorak,Game of Thrones,
Men in Black,Its a wonderful life,Mrs. Doubtfire,Peter Pan,Whiplash,,,,,,,Singing in the rain,West Side Story,Wall-E,CHasing Mavericks,Wonder Woman,The World's Most Extraordinary Homes,
Harry Potter,,Jumanji,Jungle Book (OG),Castaway,,,,,,,,Best of Me,Godzilla,Caddyshack,shazam ,Fastest Car,
The Godfather,,Pitch Perfect,Snow White,Shawshank Redemption,,,,,,,,100 yard Journey,Close Encounters of the Third Kind,The bad news bears,aquaman,Freaks and Geeks,
Fight Club,,Scott Pilgrim vs The World,Pinnochio,Mountain Between Us,,,,,,,,Roman Holiday,Alien,Hoop dreams,Watchmen,Brady Bunch,
Speed,,Edge of 17,Alice in Wonderland,Uptown Girl,,,,,,,,Moonrise Kingdom,Total Recall,,,Saved By the Bell,
Paycheck,,Romancing the Stone,Bedknobs and Broomsticks,Field of Dreams,,,,,,,,A walk to REmember,Minority Report,,,American Horror Story,
A Few Good Men,,the wedding singer,Atlantis,Forrest Gump,,,,,,,,13 Going on 30,Tron (Old/New),,,Titans,
Oceans 8,,Starsky and Hutch,Fox and the Hound,Silver Linings Playbook,,,,,,,,Notting hill,War Games,,,,
Jaws,,The Intern,Toy Story,Bridge to Terrabithia,,,,,,,,Clueless,The Mummy,,,,
Catch me If you Can,,bagdad cafe,Cars,to kill a mockingbird,,,,,,,,While you were Sleeping,Valerian ,,,,
Terminator,,Aroung the world in 80 days,Emperor's New Groove,schindler's list,,,,,,,,Sleepless in Seatle,The DArk Tower,,,,
Back to the Future,,"Planes, Trains, and Automobiles",Dinosaur,hearts beat loud,,,,,,,,Casablanca,The adjustment Bureau,,,,
Crouching Tiger Hiden dragon,,,A Bug's Life,Secondhand Lions,,,,,,,,Dirty Dancing,,,,,
Scarface,,,Dumbo,Rebel with a cause,,,,,,,,Gone with the Wind,,,,,
King Kong,,,Hercules,Secret life of Walter Mitty,,,,,,,,"Love, ROsie",,,,,
How it ends,,,Aladdin,How I live now,,,,,,,,"Definetly, maybe",,,,,
kill bill (volume 1&2,,,Good Dinosaur,Phantom Thread,,,,,,,,The Vow,,,,,
Gran Torino,,,Bolt,Freedom Writers,,,,,,,,THe perks of being a wallflower,,,,,
Rambo,,,Wall-E,,,,,,,,,Flipped,,,,,
point break,,,,,,,,,,,,Dear John,,,,,
Hardcore HENRY (ITS ON NETFIX),,,,,,,,,,,,To All the Boys I've Loved Before,,,,,
